:Arabidopsis_lyrata_negative
:centroid_mass	total_ion_count
154.9943	6.178e2
155.9118	2.162e1
155.9762	1.041e2
156.0640	4.622e1
157.0141	1.551e2
157.0494	2.099e1
157.0905	6.485e1
157.9140	1.247e1
158.0496	3.178e2
158.9170	8.342e0
158.9820	5.213e2
159.0293	3.628e2
159.9705	4.274e2
160.0595	6.034e1
160.9800	1.240e2
161.0454	6.589e2
161.5276	2.150e1
161.5693	2.470e1
161.5991	1.383e1
161.6527	6.692e1
161.7123	3.540e1
161.7779	6.911e1
161.8315	3.478e1
161.8673	3.336e1
161.9150	3.430e1
161.9747	3.458e2
162.0284	3.965e1
162.0582	1.415e2
162.1418	2.736e1
162.1835	4.192e1
162.2432	1.193e1
162.2850	4.097e1
162.3209	3.102e1
162.3627	2.107e1
162.4284	6.461e1
162.4583	3.635e1
162.5240	4.452e1
162.5539	2.651e1
162.6017	3.690e1
162.6495	9.444e1
162.7153	5.938e1
162.7691	8.660e1
162.8468	6.660e1
162.9425	1.827e4
163.0383	5.983e2
163.1580	2.853e1
163.2119	1.678e1
163.2778	2.859e1
163.3377	9.307e0
163.3796	1.478e1
163.4096	5.556e0
163.4395	3.683e1
163.5474	2.297e1
163.5774	3.133e1
163.6374	3.172e1
163.6734	1.861e1
163.7033	2.452e1
163.7453	3.205e1
163.7933	1.213e1
163.8233	2.810e1
163.8653	3.102e1
163.9373	2.880e2
163.9853	4.824e1
164.0754	3.906e2
164.1354	3.819e1
164.2495	8.677e0
164.3036	1.376e1
164.4058	2.182e1
164.5079	2.482e0
164.5621	2.805e1
164.5981	5.767e0
164.6463	2.450e1
164.7064	1.562e1
164.7425	2.705e1
164.8207	2.000e1
164.8508	2.320e1
164.9411	3.022e3
165.0435	1.815e3
165.7005	1.132e1
165.7367	7.047e0
165.8574	1.007e1
165.9420	4.607e2
166.0446	2.743e2
166.1413	1.533e1
166.9398	2.836e2
167.0367	1.582e3
167.9405	1.341e2
168.0378	2.225e2
168.8956	8.998e0
168.9321	2.101e1
168.9992	3.558e2
169.9939	4.424e1
170.0367	1.965e1
170.0795	7.313e0
170.8873	1.464e2
170.9670	2.971e2
171.0406	5.984e1
171.0835	6.945e1
171.1325	9.985e0
171.5620	8.701e0
171.7094	1.321e1
171.7463	3.723e0
171.8937	3.280e1
171.9736	6.500e2
172.0658	3.015e1
172.0966	7.848e1
172.2873	6.160e0
172.5581	3.791e1
172.5889	1.996e1
172.6443	1.637e1
172.6874	1.392e1
172.7367	3.186e1
172.8291	3.775e1
172.9031	8.998e1
173.0079	7.327e3
173.1004	2.451e2
173.2237	7.853e0
173.2607	1.676e1
173.3101	4.729e0
173.4521	1.661e1
173.5385	1.760e2
173.5879	1.015e2
173.6682	2.785e2
173.7300	1.295e2
173.7732	1.937e2
173.8351	1.803e2
173.8721	9.647e1
173.9463	1.902e2
174.0143	1.849e3
174.1689	1.011e2
174.2061	9.325e1
174.2493	8.436e1
174.2865	1.474e2
174.3484	1.376e2
174.4041	1.985e2
174.4660	1.506e2
174.5465	3.355e2
174.5960	9.713e1
174.6394	1.986e2
174.7076	2.605e2
174.7509	3.054e2
174.8129	2.875e2
174.8873	3.294e2
175.0237	5.791e4
175.1725	1.286e2
175.2470	1.390e2
175.3339	1.718e2
175.3959	4.078e1
175.4332	1.299e2
175.5077	1.396e2
175.5574	1.882e2
175.6071	3.611e1
175.6692	2.701e2
175.7437	1.177e2
175.7748	1.004e2
175.8059	1.012e2
175.8681	8.956e1
175.9675	1.625e3
176.0297	4.555e3
176.1603	6.655e1
176.1977	5.222e1
176.2412	3.877e1
176.2785	3.844e1
176.3159	5.633e1
176.3533	4.122e1
176.3906	2.977e1
